id,ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,salary,positions,Lat,Long,mtg30,mtg_by_sal,mbs,rent12,rent_by_sal,rbs,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,rank
1,5,Des Moines,IA,50600,178942,857,60.3,41.4,35.7,2.4,147694,72170,22,41.5725,-93.6105,"$6,832.93 ",9%,9,10284,14%,14,12%,11.5,17,22,16.5,1
2,4,Fayetteville,AR,45830,177942,778,68,45,33.9,2.7,221546,54929,19,36.0713,-94.166,"$10,249.62 ",19%,19,9336,17%,17,18%,18,71,75,22,2
3,12,Madison,WI,52190,247967,958,55.9,36.8,35.9,2.2,293514,100662,14,43.0827,-89.3923,"$13,579.15 ",13%,13,11496,11%,11,12%,12,37,49,24,3
4,11,Huntsville,AL,53600,167300,779,,,38.4,3.5,178465,58017,11,34.6988,-86.6412,"$8,256.52 ",14%,14,9348,16%,16,15%,15,47,58,26,4
5,2,Denver,CO,57400,393842,1203,64.6,36.2,36.3,3,488386,77402,181,39.7621,-104.876,"$22,594.73 ",29%,29,14436,19%,19,24%,24,94,96,26,5
6,3,Colorado Springs,CO,50050,286700,1070,62.1,35.7,34.4,3.7,321088,58686,7,38.8674,-104.761,"$14,854.84 ",25%,25,12840,22%,22,24%,23.5,87,90,26.5,6
7,1,Austin,TX,51840,291533,1155,79.7,54.8,34.2,2.9,404317,63924,86,30.3006,-97.7517,"$18,705.35 ",29%,29,13860,22%,22,26%,25.5,95,96,26.5,7
8,13,Grand Rapids,MI,44770,181533,826,57.9,40.2,35.7,3.1,177723,57225,11,42.9615,-85.6557,"$8,222.19 ",14%,14,9912,17%,17,16%,15.5,50,63,28.5,8
9,20,Charlotte,NC,50150,213983,935,70.9,48.7,37.3,3.6,254255,101284,73,35.2079,-80.8304,"$11,762.87 ",12%,12,11220,11%,11,12%,11.5,31,51,31.5,9
10,15,Nashville,TN,47110,248883,951,69.7,48.9,36.3,2.8,287500,67187,51,36.1715,-86.7843,"$13,300.92 ",20%,20,11412,17%,17,19%,18.5,73,88,33.5,10
11,8,Portland,OR,55330,375425,1118,63.1,45.6,37.8,3.8,464283,67880,41,45.5371,-122.65,"$21,479.63 ",32%,32,13416,20%,20,26%,26,98,106,34,11
12,22,Greenville,SC,43230,172067,787,70.3,50.5,38.5,3.3,203775,57444,10,34.8362,-82.3649,"$9,427.46 ",16%,16,9444,16%,16,16%,16,62,84,38,12
13,17,Boise,ID,43880,221475,879,63.5,41.2,35.8,2.6,331482,56828,16,43.6007,-116.231,"$15,335.71 ",27%,27,10548,19%,19,23%,23,90,107,40,13
14,9,Seattle,WA,63120,442333,1297,60.2,45,37.1,3.9,802912,81519,130,47.6211,-122.324,"$37,145.98 ",46%,46,15564,19%,19,33%,32.5,102,111,41.5,14
15,26,Phoenix,AZ,49500,234183,1032,86.6,63.4,36.2,4.1,271291,76096,103,33.5722,-112.089,"$12,551.03 ",16%,16,12384,16%,16,16%,16,61,87,42,15
16,18,Sarasota,FL,42680,237260,1089,81.7,64.1,51.6,3.3,289167,55593,8,27.3386,-82.543,"$13,378.05 ",24%,24,13068,24%,24,24%,24,86,104,42,16
17,30,Houston,TX,53820,223875,995,78.9,61.5,34,4.3,192681,73062,76,29.7869,-95.3905,"$8,914.21 ",12%,12,11940,16%,16,14%,14,32,62,44,17
18,24,Salt Lake City,UT,47272,324198,963,63.8,41.6,30.2,3,436115,75686,57,40.7774,-111.93,"$20,176.46 ",27%,27,11556,15%,15,21%,21,89,113,45,18
19,31,Winston-Salem,NC,44910,145725,732,69.7,49.4,40.4,3.7,153108,56460,17,36.1029,-80.261,"$7,083.40 ",13%,13,8784,16%,16,15%,14.5,38,69,45.5,19
20,25,Melbourne,FL,48240,198425,971,81.9,62.8,47.1,3.5,245384,56120,2,28.1085,-80.6627,"$11,352.46 ",20%,20,11652,21%,21,21%,20.5,76,101,45.5,20
21,34,San Antonio,TX,46200,211800,949,80.2,58.6,34.4,3.3,186009,83577,21,29.4658,-98.5254,"$8,605.54 ",10%,10,11388,14%,14,12%,12,22,56,46,21
22,32,Omaha,NE,47660,171164,865,61.8,40.2,35.4,2.9,193769,55609,21,41.2628,-96.0498,"$8,964.54 ",16%,16,10380,19%,19,18%,17.5,64,96,49.5,22
23,23,Portland,ME,48970,223367,975,55.7,37.1,43.4,2.6,333446,50995,8,43.6773,-70.2715,"$15,426.57 ",30%,30,11700,23%,23,27%,26.5,96,119,49.5,23
24,41,Lansing,MI,47990,136342,834,57.3,39.1,35.3,3.7,95504,70490,16,42.7142,-84.5601,"$4,418.40 ",6%,6,10008,14%,14,10%,10,9,50,51,24
25,39,Cincinnati,OH,48890,161483,787,65.1,43.4,37.7,3.9,161214,68062,47,39.1412,-84.506,"$7,458.42 ",11%,11,9444,14%,14,13%,12.5,25,64,51.5,25
26,38,Indianapolis,IN,48030,173700,859,61.8,44.4,36.3,3.2,151493,56594,37,39.7771,-86.1458,"$7,008.68 ",12%,12,10308,18%,18,15%,15,34,72,53,26
27,37,Pensacola,FL,41200,175875,952,90,74.5,38,3.5,157072,54166,7,30.4427,-87.1886,"$7,266.79 ",13%,13,11424,21%,21,17%,17,44,81,54,27
28,44,Harrisburg,PA,48270,162967,903,62.5,43.7,40.3,3.7,55717,63409,17,40.2752,-76.8843,"$2,577.70 ",4%,4,10836,17%,17,11%,10.5,5,49,54.5,28
29,7,San Francisco,CA,69700,768517,1673,65.8,50.6,38.8,2.7,1451049,92498,207,37.7562,-122.443,"$67,131.45 ",73%,73,20076,22%,22,48%,47.5,107,114,54.5,29
30,27,Boston,MA,65420,423450,1335,58.7,44,38.7,3.1,620097,77840,236,42.3188,-71.0846,"$28,688.22 ",37%,37,16020,21%,21,29%,29,99,126,56,30
31,35,Fort Myers,FL,41380,219200,1035,84.3,64.4,47.8,3.4,260200,56593,2,26.6195,-81.8303,"$12,037.91 ",21%,21,12420,22%,22,22%,21.5,78,113,56.5,31
32,14,San Jose,CA,77180,1080017,1940,72.4,50.6,36.9,2.6,1089860,87059,179,37.3021,-121.849,"$50,421.37 ",58%,58,23280,27%,27,43%,42.5,105,119,56.5,32
33,40,Fort Wayne,IN,43590,146200,714,84.4,62.8,36.4,3.1,144412,45368,3,41.0885,-85.1436,"$6,681.09 ",15%,15,8568,19%,19,17%,17,54,94,57,33
34,33,Reno,NV,46330,351500,946,92.1,57.7,38.2,3.7,411558,58653,5,39.5497,-119.848,"$19,040.35 ",32%,32,11352,19%,19,26%,25.5,97,130,58.5,34
35,42,Jacksonville,FL,45760,174658,1019,79.2,61.2,38.1,3.3,196115,56689,14,30.3322,-81.6749,"$9,073.08 ",16%,16,12228,22%,22,19%,19,65,107,61,35
36,46,Knoxville,TN,43840,172333,779,69.5,48.8,40.5,3.3,200199,60289,6,35.9692,-83.9496,"$9,262.02 ",15%,15,9348,16%,16,16%,15.5,52,98,61.5,36
37,52,Buffalo,NY,48180,144300,763,56.3,40.2,40.8,4.7,102896,64065,12,42.9017,-78.8487,"$4,760.39 ",7%,7,9156,14%,14,11%,10.5,12,64,62.5,37
38,49,Kansas City,MO,49460,201900,894,64.6,44.5,37.1,3.4,157990,63928,44,39.1239,-94.5541,"$7,309.26 ",11%,11,10728,17%,17,14%,14,28,77,63,38
39,50,Pittsburgh,PA,48580,140855,776,60.6,41.9,43,4.3,158964,54999,49,40.4396,-79.9763,"$7,354.32 ",13%,13,9312,17%,17,15%,15,41,91,65,39
40,43,Manchester,NH,52640,234097,1132,82.4,62.8,40.5,2.5,267826,59341,16,42.9848,-71.4447,"$12,390.72 ",21%,21,13584,23%,23,22%,22,79,122,65,40
41,54,Syracuse,NY,49850,132500,804,57.6,38.9,39.2,4.5,98555,58820,13,43.0409,-76.1438,"$4,559.56 ",8%,8,9648,16%,16,12%,12,15,69,66,41
42,55,Chattanooga,TN,42870,164550,771,71.6,50.1,40.1,3.5,164328,76631,2,35.0657,-85.2487,"$7,602.48 ",10%,10,9252,12%,12,11%,11,21,76,66,42
43,47,Hartford,CT,60040,215542,1057,60.7,41.5,40.7,4.2,155406,48875,46,41.7661,-72.6834,"$7,189.72 ",15%,15,12684,26%,26,21%,20.5,59,106,67.5,43
44,45,Charleston,SC,44970,246408,1054,76.1,55.5,36.6,3,339668,58807,6,32.8151,-79.963,"$15,714.43 ",27%,27,12648,22%,22,25%,24.5,91,136,69.5,44
45,53,Richmond,VA,49840,225767,1044,69.6,48.1,38.5,3.2,240257,67878,27,37.5295,-77.4756,"$11,115.27 ",16%,16,12528,18%,18,17%,17,63,116,70,45
46,61,Milwaukee,WI,50070,207400,864,55.5,40,37.6,3.1,131152,79710,25,43.0642,-87.9673,"$6,067.63 ",8%,8,10368,13%,13,11%,10.5,14,75,71.5,46
47,56,Tampa,FL,46080,199717,1014,81.7,65.1,42,3.4,251269,73775,62,27.9942,-82.4451,"$11,624.73 ",16%,16,12168,16%,16,16%,16,60,116,72,47
48,36,San Diego,CA,56410,555325,1467,69.7,57.5,35.4,3.3,717383,68102,76,32.8312,-117.122,"$33,189.06 ",49%,49,17604,26%,26,38%,37.5,104,140,73.5,48
49,58,Rochester,NY,49570,135042,848,57.1,39.3,39.9,4.4,128115,47319,7,43.168,-77.6162,"$5,927.12 ",13%,13,10176,22%,22,18%,17.5,45,103,75.5,49
50,57,Atlanta,GA,51390,209658,1053,71.8,53.2,36.1,3.7,300255,71850,170,33.7627,-84.4225,"$13,891.02 ",19%,19,12636,18%,18,19%,18.5,72,129,75.5,50
51,69,Dayton,OH,48700,126325,770,61,42.8,39.4,4.3,60144,80582,30,39.7797,-84.1998,"$2,782.51 ",3%,3,9240,11%,11,7%,7,4,73,76,51
52,59,Lakeland,FL,40560,171967,913,85.2,62.7,40.4,4,178985,53962,3,28.0557,-81.9545,"$8,280.58 ",15%,15,10956,20%,20,18%,17.5,55,114,76.5,52
53,68,Oklahoma City,OK,46070,150925,827,72.2,50.7,34.9,3.3,141460,88481,21,35.4676,-97.5137,"$6,544.52 ",7%,7,9924,11%,11,9%,9,11,79,77,53
54,66,Greensboro,NC,43310,142758,777,69.2,49,38.8,4.1,165533,56735,11,36.0956,-79.8268,"$7,658.23 ",13%,13,9324,16%,16,15%,14.5,39,105,80.5,54
55,63,Orlando,FL,44410,233050,1107,82.8,62.8,36.9,3.2,267171,72547,49,28.4772,-81.3369,"$12,360.42 ",17%,17,13284,18%,18,18%,17.5,66,129,80.5,55
56,64,Louisville,KY,45100,167300,792,67.7,48.5,38.8,3.9,179855,48913,17,38.1663,-85.6485,"$8,320.83 ",17%,17,9504,19%,19,18%,18,68,132,82,56
57,72,Augusta,GA,44020,147427,809,76.8,50.9,37.2,4.1,108586,55407,6,33.3645,-82.0708,"$5,023.63 ",9%,9,9708,18%,18,14%,13.5,20,92,85.5,57
58,65,Spokane,WA,47320,221800,833,57.6,38.6,38.3,5.5,254665,51895,6,47.6671,-117.433,"$11,781.84 ",23%,23,9996,19%,19,21%,21,80,145,86,58
59,67,Columbia,SC,43840,144192,889,75.6,53.9,36.3,3.5,148470,45368,18,34.0376,-80.9037,"$6,868.83 ",15%,15,10668,24%,24,20%,19.5,58,125,86.5,59
60,77,Salem,OR,47240,269367,877,83.6,42.4,36.3,4.2,293913,105531,2,44.9232,-123.024,"$13,597.61 ",13%,13,10524,10%,10,12%,11.5,36,113,88.5,60
61,76,Tucson,AZ,46140,203458,861,83.1,55.7,38.2,4.4,218379,70773,3,32.1545,-110.878,"$10,103.10 ",14%,14,10332,15%,15,15%,14.5,46,122,90.5,61
62,79,Wichita,KS,43880,143850,769,67.6,45.5,35.8,3.7,136662,55541,7,37.6897,-97.3441,"$6,322.54 ",11%,11,9228,17%,17,14%,14,29,108,93,62
63,71,Las Vegas,NV,44450,271767,1048,80,58.6,36.9,4.8,299816,59846,19,36.2333,-115.265,"$13,870.71 ",23%,23,12576,21%,21,22%,22,82,153,93,63
64,85,Cleveland,OH,45589,132516,782,59.2,45.9,41,4.9,65532,65755,31,41.4767,-81.6805,"$3,031.78 ",5%,5,9384,14%,14,10%,9.5,7,92,94.5,64
65,80,Springfield,MO,40560,146416,721,43,22.5,36.6,2.8,146501,52813,5,37.1943,-93.2915,"$6,777.73 ",13%,13,8652,16%,16,15%,14.5,40,120,94.5,65
66,70,Anchorage,AK,58980,259900,1237,9.3,43.9,33.5,6.1,374498,61896,5,61.1508,-149.109,"$17,325.81 ",28%,28,14844,24%,24,26%,26,93,163,96,66
67,75,Myrtle Beach,SC,35890,181800,883,81,39,46.5,4.6,265484,52502,0,33.7096,-78.8842,"$12,282.37 ",23%,23,10596,20%,20,22%,21.5,81,156,96.5,67
68,83,Tulsa,OK,45260,149000,804,71.3,50.1,36.8,3.6,131658,57260,6,36.1284,-95.9043,"$6,091.04 ",11%,11,9648,17%,17,14%,14,27,110,97,68
69,92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3,34909,70109,60,42.3834,-83.1024,"$1,615.03 ",2%,2,10680,15%,15,9%,8.5,2,94,100.5,69
70,89,Birmingham,AL,47300,171450,831,73.8,52.6,38.4,3.6,59747,54892,20,33.5277,-86.7987,"$2,764.14 ",5%,5,9972,18%,18,12%,11.5,8,97,100.5,70
71,88,Little Rock,AR,43780,147150,805,72.8,52.4,36.5,3.3,150536,63600,23,34.7255,-92.358,"$6,964.41 ",11%,11,9660,15%,15,13%,13,26,114,101,71
72,86,Springfield,MA,50930,199650,903,59.2,37.3,38.2,4.2,174482,62089,34,42.1155,-72.5395,"$8,072.25 ",13%,13,10836,17%,17,15%,15,42,128,101,72
73,82,Sacramento,CA,55010,389858,1157,73.8,47.6,37,3.7,354148,69119,30,38.5667,-121.468,"$16,384.33 ",24%,24,13884,20%,20,22%,22,85,167,104,73
74,94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9,73883,56309,2,41.6639,-83.5822,"$3,418.13 ",6%,6,8520,15%,15,11%,10.5,10,104,104.5,74
75,87,York,PA,44740,164258,915,,,41,3.8,176340,52974,22,39.9651,-76.7315,"$8,158.21 ",15%,15,10980,21%,21,18%,18,56,143,105,75
76,97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8,25638,53789,16,41.0993,-80.6463,"$1,186.12 ",2%,2,7824,15%,15,9%,8.5,1,98,105.5,76
77,91,Providence,RI,52220,228804,925,60.6,42.5,40.2,4.1,240913,62635,25,41.823,-71.4187,"$11,145.62 ",18%,18,11100,18%,18,18%,18,70,161,109,77
78,98,Scranton,PA,41980,100600,745,58.7,40,42.8,5,90374,55851,11,41.4044,-75.6649,"$4,181.07 ",7%,7,8940,16%,16,12%,11.5,13,111,109.5,78
79,74,Santa Rosa,CA,53890,629917,1456,71,44.2,41.4,2.7,601921,63924,8,38.4458,-122.707,"$27,847.32 ",44%,44,17472,27%,27,36%,35.5,101,175,109.5,79
80,96,Lafayette,LA,39940,165500,769,,,35.4,4.9,172849,55852,4,30.2084,-92.0323,"$7,996.70 ",14%,14,9228,17%,17,16%,15.5,48,144,111.5,80
81,100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2,148820,86191,97,39.3051,-76.6144,"$6,885.02 ",8%,8,14640,17%,17,13%,12.5,16,116,112.5,81
82,95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1,196009,63005,22,41.3112,-72.9246,"$9,068.18 ",14%,14,13200,21%,21,18%,17.5,51,146,112.5,82
83,60,Honolulu,HI,54030,581658,1653,84.4,70.9,37.6,2.1,977282,59944,11,21.3294,-157.846,"$45,213.05 ",75%,75,19836,33%,33,54%,54,108,168,114,83
84,102,Philadelphia,PA,54940,200142,1075,64.6,47.1,38.6,4.2,178942,71872,171,40.0077,-75.1339,"$8,278.59 ",12%,12,12900,18%,18,15%,15,33,135,117,84
85,101,Killeen,TX,41770,155500,888,,,31.1,4,135104,51142,20,31.0755,-97.7297,"$6,250.46 ",12%,12,10656,21%,21,17%,16.5,35,136,117.5,85
86,99,Daytona Beach,FL,38710,192817,990,80.1,61.6,47.1,3.7,178429,53872,5,29.1994,-81.0982,"$8,254.85 ",15%,15,11880,22%,22,19%,18.5,57,156,117.5,86
87,73,Santa Barbara,CA,54320,463750,1496,73,54,33.7,3.9,1151867,76792,4,34.4285,-119.72,"$53,290.07 ",69%,69,17952,23%,23,46%,46,106,179,119,87
88,104,Chicago,IL,54160,221983,1048,59,40.7,37,4.2,221752,73041,199,41.8373,-87.6862,"$10,259.15 ",14%,14,12576,17%,17,16%,15.5,49,153,119.5,88
89,108,Beaumont,TX,47900,,797,,,36.9,6.2,109736,55174,0,30.085,-94.1451,"$5,076.84 ",9%,9,9564,17%,17,13%,13,18,126,121,89
90,105,Corpus Christi,TX,44710,,940,,,35.7,5,158264,55890,1,27.7261,-97.3755,"$7,321.94 ",13%,13,11280,20%,20,17%,16.5,43,148,121.5,90
91,111,Jackson,MS,42770,,838,75.5,53.6,36,4.1,44573,56851,7,32.3163,-90.2124,"$2,062.13 ",4%,4,10056,18%,18,11%,11,6,117,122,91
92,106,Albuquerque,NM,46400,201900,850,68.7,45.4,37.7,4.6,213805,58249,9,35.1053,-106.646,"$9,891.49 ",17%,17,10200,18%,18,18%,17.5,67,173,123.5,92
93,115,Flint,MI,45820,121900,738,,,40.1,5.1,24470,52617,1,43.0235,-83.6922,"$1,132.08 ",2%,2,8856,17%,17,10%,9.5,3,118,124.5,93
94,109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3,189254,58626,13,30.4419,-91.131,"$8,755.66 ",15%,15,10476,18%,18,17%,16.5,53,162,125.5,94
95,103,Virginia Beach,VA,47410,220275,1124,68.2,52,35.7,3.3,287932,56881,30,36.7335,-76.0435,"$13,320.91 ",23%,23,13488,24%,24,24%,23.5,83,186,126.5,95
96,116,Brownsville,TX,35240,,683,,,31.4,6.2,103350,49968,1,25.998,-97.4565,"$4,781.39 ",10%,10,8196,16%,16,13%,13,23,139,129,96
97,110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3,136997,36786,3,31.8479,-106.431,"$6,338.04 ",17%,17,9468,26%,26,22%,21.5,69,179,131.5,97
98,114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5,225899,53047,5,30.0687,-89.9288,"$10,451.01 ",20%,20,11364,21%,21,21%,20.5,77,191,134.5,98
99,122,Shreveport,LA,39400,,789,,,36.7,5.2,103134,55397,3,32.4659,-93.7959,"$4,771.40 ",9%,9,9468,17%,17,13%,13,19,141,135,99
100,118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1,93598,43121,9,35.1046,-89.9773,"$4,330.23 ",10%,10,10596,25%,25,18%,17.5,24,142,135.5,100
101,121,Mobile,AL,43830,126976,828,,,37.3,4.7,127644,55249,1,30.6782,-88.1163,"$5,905.33 ",11%,11,9936,18%,18,15%,14.5,30,151,135.5,101
102,119,Fresno,CA,45510,260733,931,76.7,51.9,31.8,7.4,257940,60100,3,36.7831,-119.794,"$11,933.36 ",20%,20,11172,19%,19,20%,19.5,75,194,138.5,102
103,113,Miami,FL,46860,247113,1232,84.3,70,40.7,3.7,392862,64384,46,25.7839,-80.2102,"$18,175.40 ",28%,28,14784,23%,23,26%,25.5,92,205,138.5,103
104,107,Los Angeles,CA,53803,526214,1362,69,56.2,35.9,4.2,756217,73934,164,34.1139,-118.407,"$34,985.68 ",47%,47,16344,22%,22,35%,34.5,103,210,141.5,104
105,120,Modesto,CA,46176,289168,1011,76,51.3,32.9,7,313307,59367,4,37.6374,-121.003,"$14,494.86 ",24%,24,12132,20%,20,22%,22,84,204,142,105
106,124,Bakersfield,CA,47680,226908,933,76.8,53.5,31.3,8,254820,59792,2,35.353,-119.036,"$11,789.01 ",20%,20,11196,19%,19,20%,19.5,74,198,143.5,106
107,123,Stockton,CA,46770,352350,1100,74.3,48.3,33.9,5.9,320134,59113,6,37.9766,-121.311,"$14,810.70 ",25%,25,13200,22%,22,24%,23.5,88,211,146.5,107
108,117,Salinas,CA,48290,581342,1338,,,33.9,6.4,521572,60591,2,36.6884,-121.632,"$24,130.05 ",40%,40,16056,26%,26,33%,33,100,217,150,108