state,city,href
texas,austin,https://realestate.usnews.com/places/texas/austin
colorado,denver,https://realestate.usnews.com/places/colorado/denver
colorado,colorado springs,https://realestate.usnews.com/places/colorado/colorado-springs
arkansas,fayetteville,https://realestate.usnews.com/places/arkansas/fayetteville
iowa,des moines,https://realestate.usnews.com/places/iowa/des-moines
minnesota,minneapolis st paul,https://realestate.usnews.com/places/minnesota/minneapolis-st-paul
california,san francisco,https://realestate.usnews.com/places/california/san-francisco
oregon,portland,https://realestate.usnews.com/places/oregon/portland
washington,seattle,https://realestate.usnews.com/places/washington/seattle
north-carolina,raleigh durham,https://realestate.usnews.com/places/north-carolina/raleigh-durham
alabama,huntsville,https://realestate.usnews.com/places/alabama/huntsville
wisconsin,madison,https://realestate.usnews.com/places/wisconsin/madison
michigan,grand rapids,https://realestate.usnews.com/places/michigan/grand-rapids
california,san jose,https://realestate.usnews.com/places/california/san-jose
tennessee,nashville,https://realestate.usnews.com/places/tennessee/nashville
north-carolina,asheville,https://realestate.usnews.com/places/north-carolina/asheville
idaho,boise,https://realestate.usnews.com/places/idaho/boise
florida,sarasota,https://realestate.usnews.com/places/florida/sarasota
district-of-columbia,washington,https://realestate.usnews.com/places/district-of-columbia/washington
north-carolina,charlotte,https://realestate.usnews.com/places/north-carolina/charlotte
texas,dallas fort worth,https://realestate.usnews.com/places/texas/dallas-fort-worth
south-carolina,greenville,https://realestate.usnews.com/places/south-carolina/greenville
maine,portland,https://realestate.usnews.com/places/maine/portland
utah,salt lake city,https://realestate.usnews.com/places/utah/salt-lake-city
florida,melbourne,https://realestate.usnews.com/places/florida/melbourne
arizona,phoenix,https://realestate.usnews.com/places/arizona/phoenix
massachusetts,boston,https://realestate.usnews.com/places/massachusetts/boston
new-york,albany,https://realestate.usnews.com/places/new-york/albany
kentucky,lexington fayette,https://realestate.usnews.com/places/kentucky/lexington-fayette
texas,houston,https://realestate.usnews.com/places/texas/houston
north-carolina,winston salem,https://realestate.usnews.com/places/north-carolina/winston-salem
nebraska,omaha,https://realestate.usnews.com/places/nebraska/omaha
nevada,reno,https://realestate.usnews.com/places/nevada/reno
texas,san antonio,https://realestate.usnews.com/places/texas/san-antonio
florida,fort myers,https://realestate.usnews.com/places/florida/fort-myers
california,san diego,https://realestate.usnews.com/places/california/san-diego
florida,pensacola,https://realestate.usnews.com/places/florida/pensacola
indiana,indianapolis,https://realestate.usnews.com/places/indiana/indianapolis
ohio,cincinnati,https://realestate.usnews.com/places/ohio/cincinnati
indiana,fort wayne,https://realestate.usnews.com/places/indiana/fort-wayne
michigan,lansing,https://realestate.usnews.com/places/michigan/lansing
florida,jacksonville,https://realestate.usnews.com/places/florida/jacksonville
new-hampshire,manchester,https://realestate.usnews.com/places/new-hampshire/manchester
pennsylvania,harrisburg,https://realestate.usnews.com/places/pennsylvania/harrisburg
south-carolina,charleston,https://realestate.usnews.com/places/south-carolina/charleston
tennessee,knoxville,https://realestate.usnews.com/places/tennessee/knoxville
connecticut,hartford,https://realestate.usnews.com/places/connecticut/hartford
pennsylvania,lancaster,https://realestate.usnews.com/places/pennsylvania/lancaster
missouri,kansas city,https://realestate.usnews.com/places/missouri/kansas-city
pennsylvania,pittsburgh,https://realestate.usnews.com/places/pennsylvania/pittsburgh
ohio,columbus,https://realestate.usnews.com/places/ohio/columbus
new-york,buffalo,https://realestate.usnews.com/places/new-york/buffalo
virginia,richmond,https://realestate.usnews.com/places/virginia/richmond
new-york,syracuse,https://realestate.usnews.com/places/new-york/syracuse
tennessee,chattanooga,https://realestate.usnews.com/places/tennessee/chattanooga
florida,tampa,https://realestate.usnews.com/places/florida/tampa
georgia,atlanta,https://realestate.usnews.com/places/georgia/atlanta
new-york,rochester,https://realestate.usnews.com/places/new-york/rochester
florida,lakeland,https://realestate.usnews.com/places/florida/lakeland
hawaii,honolulu,https://realestate.usnews.com/places/hawaii/honolulu
wisconsin,milwaukee,https://realestate.usnews.com/places/wisconsin/milwaukee
massachusetts,worcester,https://realestate.usnews.com/places/massachusetts/worcester
florida,orlando,https://realestate.usnews.com/places/florida/orlando
kentucky,louisville,https://realestate.usnews.com/places/kentucky/louisville
washington,spokane,https://realestate.usnews.com/places/washington/spokane
north-carolina,greensboro,https://realestate.usnews.com/places/north-carolina/greensboro
south-carolina,columbia,https://realestate.usnews.com/places/south-carolina/columbia
oklahoma,oklahoma city,https://realestate.usnews.com/places/oklahoma/oklahoma-city
ohio,dayton,https://realestate.usnews.com/places/ohio/dayton
alaska,anchorage,https://realestate.usnews.com/places/alaska/anchorage
nevada,las vegas,https://realestate.usnews.com/places/nevada/las-vegas
georgia,augusta,https://realestate.usnews.com/places/georgia/augusta
california,santa barbara,https://realestate.usnews.com/places/california/santa-barbara
california,santa rosa,https://realestate.usnews.com/places/california/santa-rosa
south-carolina,myrtle beach,https://realestate.usnews.com/places/south-carolina/myrtle-beach
arizona,tucson,https://realestate.usnews.com/places/arizona/tucson
oregon,salem,https://realestate.usnews.com/places/oregon/salem
florida,port st lucie,https://realestate.usnews.com/places/florida/port-st-lucie
kansas,wichita,https://realestate.usnews.com/places/kansas/wichita
missouri,springfield,https://realestate.usnews.com/places/missouri/springfield
missouri,st louis,https://realestate.usnews.com/places/missouri/st-louis
california,sacramento,https://realestate.usnews.com/places/california/sacramento
oklahoma,tulsa,https://realestate.usnews.com/places/oklahoma/tulsa
pennsylvania,reading,https://realestate.usnews.com/places/pennsylvania/reading
ohio,cleveland,https://realestate.usnews.com/places/ohio/cleveland
massachusetts,springfield,https://realestate.usnews.com/places/massachusetts/springfield
pennsylvania,york,https://realestate.usnews.com/places/pennsylvania/york
arkansas,little rock,https://realestate.usnews.com/places/arkansas/little-rock
alabama,birmingham,https://realestate.usnews.com/places/alabama/birmingham
new-york,new york city,https://realestate.usnews.com/places/new-york/new-york-city
rhode-island,providence,https://realestate.usnews.com/places/rhode-island/providence
michigan,detroit,https://realestate.usnews.com/places/michigan/detroit
pennsylvania,allentown,https://realestate.usnews.com/places/pennsylvania/allentown
ohio,toledo,https://realestate.usnews.com/places/ohio/toledo
connecticut,new haven,https://realestate.usnews.com/places/connecticut/new-haven
louisiana,lafayette,https://realestate.usnews.com/places/louisiana/lafayette
ohio,youngstown,https://realestate.usnews.com/places/ohio/youngstown
pennsylvania,scranton,https://realestate.usnews.com/places/pennsylvania/scranton
florida,daytona beach,https://realestate.usnews.com/places/florida/daytona-beach
maryland,baltimore,https://realestate.usnews.com/places/maryland/baltimore
texas,killeen,https://realestate.usnews.com/places/texas/killeen
pennsylvania,philadelphia,https://realestate.usnews.com/places/pennsylvania/philadelphia
virginia,virginia beach,https://realestate.usnews.com/places/virginia/virginia-beach
illinois,chicago,https://realestate.usnews.com/places/illinois/chicago
texas,corpus christi,https://realestate.usnews.com/places/texas/corpus-christi
new-mexico,albuquerque,https://realestate.usnews.com/places/new-mexico/albuquerque
california,los angeles,https://realestate.usnews.com/places/california/los-angeles
texas,beaumont,https://realestate.usnews.com/places/texas/beaumont
louisiana,baton rouge,https://realestate.usnews.com/places/louisiana/baton-rouge
texas,el paso,https://realestate.usnews.com/places/texas/el-paso
mississippi,jackson,https://realestate.usnews.com/places/mississippi/jackson
texas,mcallen,https://realestate.usnews.com/places/texas/mcallen
florida,miami,https://realestate.usnews.com/places/florida/miami
louisiana,new orleans,https://realestate.usnews.com/places/louisiana/new-orleans
michigan,flint,https://realestate.usnews.com/places/michigan/flint
texas,brownsville,https://realestate.usnews.com/places/texas/brownsville
california,salinas,https://realestate.usnews.com/places/california/salinas
tennessee,memphis,https://realestate.usnews.com/places/tennessee/memphis
california,fresno,https://realestate.usnews.com/places/california/fresno
california,modesto,https://realestate.usnews.com/places/california/modesto
alabama,mobile,https://realestate.usnews.com/places/alabama/mobile
louisiana,shreveport,https://realestate.usnews.com/places/louisiana/shreveport
california,stockton,https://realestate.usnews.com/places/california/stockton
california,bakersfield,https://realestate.usnews.com/places/california/bakersfield